company_year_id,company_id,annual_report_id,ticker,name,cik,fiscal_year,filing_date,sec_accession_id,report_path,report_hash,file_format,file_size_bytes,extraction_status,form_type,data_version,created_at,updated_at
58,17,72,CSCO,Cisco,0000858877,2024,,csco_10k_2024,data/raw/annual_reports/858877/2024/csco_10k_2024.txt,270bec3bbca46cb8187f963250013a1464cdcb8de9f4c8a9dea18aa928d14382,txt,21996110,pending,10-K,v1,2025-12-06T19:23:55.533173+11:00,
59,17,73,CSCO,Cisco,0000858877,2025,,csco_10k_2025,data/raw/annual_reports/858877/2025/csco_10k_2025.html,c63d07c5ceca03b9854bb42270dc157b707ee8983ea31de2668974495301da1a,html,3528800,pending,10-K,v1,2025-12-06T19:23:55.533173+11:00,
60,18,74,C,Citigroup,0000831001,2025,,c_10k_2025,data/raw/annual_reports/831001/2025/c_10k_2025.txt,5f466819f9882a6443d469f448df16859103adafdaaeca2f78961672f0fd8c97,txt,80815499,pending,10-K,v1,2025-12-06T19:23:55.575780+11:00,
61,19,75,CFG,Citizens Financial Group,0000759944,2021,,cfg_10k_2021,data/raw/annual_reports/759944/2021/cfg_10k_2021.txt,8f63aeb9f586d0f621d3b9853c719763e7b7917383f1b4503dcfb2bf75194540,txt,34619414,pending,10-K,v1,2025-12-06T19:23:55.628745+11:00,
62,19,76,CFG,Citizens Financial Group,0000759944,2022,,cfg_10k_2022,data/raw/annual_reports/759944/2022/cfg_10k_2022.txt,e859983542d7e26c50627222bf7738f6fac4b6f833e830f17cfa4145f6bdbad4,txt,33677822,pending,10-K,v1,2025-12-06T19:23:55.628745+11:00,
63,19,77,CFG,Citizens Financial Group,0000759944,2023,,cfg_10k_2023,data/raw/annual_reports/759944/2023/cfg_10k_2023.txt,41ff775b06ceca173b702e485b378f988c72c67f2ded2bf17ccc4d1aef08ef26,txt,34596439,pending,10-K,v1,2025-12-06T19:23:55.628745+11:00,
64,19,78,CFG,Citizens Financial Group,0000759944,2025,,cfg_10k_2025,data/raw/annual_reports/759944/2025/cfg_10k_2025.txt,0cb8fe959b76281972e08762fd1f9e53a5a952ff9d6d1e58a92a9e8f5083b426,txt,32325259,pending,10-K,v1,2025-12-06T19:23:55.628745+11:00,
65,20,79,CLX,Clorox,0000021076,2021,,clx_10k_2021,data/raw/annual_reports/21076/2021/clx_10k_2021.txt,d009e8ee33e899fea5e5dc3f52e5f465b4b439bfee387885165463243c9bd7ce,txt,17170807,pending,10-K,v1,2025-12-06T19:23:55.721908+11:00,
66,20,80,CLX,Clorox,0000021076,2022,,clx_10k_2022,data/raw/annual_reports/21076/2022/clx_10k_2022.html,4c0d6f255725f0bfa8bae672743cb95fac126033af795b5f1d76c84910094626,html,769441,pending,10-K,v1,2025-12-06T19:23:55.721908+11:00,
67,20,81,CLX,Clorox,0000021076,2023,,clx_10k_2023,data/raw/annual_reports/21076/2023/clx_10k_2023.html,9ae0fd52d2893b84ebeff9bf735e29b4a671bf702f0d1f3302cb80ec82b6ed2d,html,759326,pending,10-K,v1,2025-12-06T19:23:55.721908+11:00,
